EAST AFRICAN COMMUNITY GAZETTE
Vol. AT 1 – No. 19 ARUSHA, 30th June, 2025
Legal Notice No. EAC/171/2025
Source URL: https://www.tra.go.tz/images/uploads/pages/EAC_GAZETTE_Vol._AT_1_NO_._19_JUNE_2025_.pdf

TABLE I: APPROVED MEASURES ON IMPORT DUTY RATES IN THE EAC CET

2. 8523.52.00 | Smart cards | Tanzania to stay application of the EAC CET rate of 25% and apply a duty rate of 0% on the imports of Smart cards under HS Code 8523.52.00 by the National Identification Authority for one year | TZ
3. 5607.50.00 | Twine of other synthetic fibers | Tanzania to stay application of the EAC CET rate of 10% and apply a duty rate of 25% on polyester / nylon twine for one year | TZ
9. 8703.40.90 | Electric & Hybrid vehicles | Rwanda to stay application of the EAC CET rate on Electric & Hybrid vehicles and apply a duty rate of 0% for one year | RW
11. 4015.12.00 | Surgical gloves | Uganda to stay application of the EAC CET rate and apply a duty rate of 10% for one year | UG
12. 2202.91.00 | Non-alcoholic beer and Ready to drink juices | Uganda to stay application of the EAC CET rate of 35% and apply a duty rate of 60% for one year | UG
18. 8517.13.00 | Mobile phones | Uganda to stay application of the EAC CET rate of 0% and apply a duty rate of 10% for one year | UG
18. 8517.14.00 | Mobile phones | Kenya to stay application of the EAC CET rate of 0% and apply a duty rate of 25% for one year | KE
39. 0409.00.00 | Natural Honey | Uganda to stay application of the EAC CET rate of 25% and apply a duty rate of 60% for one year | UG
41. 0901.21.00 | Processed Coffee | Uganda to stay application of the EAC CET rate of 35% and apply a duty rate of 60% for one year | UG
49. 8507.60.00 | Lithium-ion batteries | Uganda and Kenya to stay application of the EAC CET rate of 25% and apply a duty rate of 0% for one year | UG,KE
70. 1006.30.00 | Semi milled or wholly milled rice | Rwanda to stay of application of EAC CET rate and apply import duty rate of 45% for one year | RW
102. 1001.99.10 | Wheat (Wheat grain) | Uganda to stay application of the EAC CET rate of 35% and apply a duty rate of 10% for one year | UG
102. 1001.99.90 | Wheat (Wheat grain) | Rwanda to stay application of the EAC CET rate of 35% and apply a duty rate of 0% for one year | RW
80. 1003.90.00 | Barley | Uganda to stay of application of the EAC CET rate of 25% and apply a duty rate of 10% for one year | UG
